"property_id","created_at","device_prop_name","property_value","property_obj","property_addr"
"629752c288c869f87c1161fd",2023-01-30 17:37:05.569 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-11-15 02:44:11.208 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-11-15 01:16:50.951 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2023-01-30 19:06:03.342 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-11-14 23:49:45.408 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-11-14 22:22:39.207 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-12-14 14:11:35.376 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-12-30 00:33:46.877 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-10-20 03:03:45.777 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-10-21 15:51:00.143 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2023-01-30 20:52:58.859 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2023-02-13 11:23:50.125 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2023-02-06 20:47:52.109 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-12-28 02:15:11.835 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-11-14 20:55:36.005 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-11-14 19:28:39.457 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2023-01-30 22:20:39.491 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-11-14 18:01:34.189 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2022-11-14 16:34:21.610 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
"629752c288c869f87c1161fd",2023-01-30 23:47:48.364 +0300,FFGF'Area04'OS05'AHUMGZ01'RATSP,22,analogValue:6,"1:0x0187"
