"created_at","device_prop_name","property_value"
2022-09-30 09:28:12.125 +0300,FFGF'Area10'OS11'AHUMGZ01'RAT,16
2022-09-30 09:28:29.748 +0300,LG'Area01'OS01'AHUMB02'RAT,21
2022-09-30 10:55:24.407 +0300,RF'Area06'OS33'AHUMRF04'RAT,22
2022-09-30 10:55:24.958 +0300,FFGF'Area04'OS05'AHUMGZ01'RAT,29
2022-09-30 10:55:25.673 +0300,FFGF'Area10'OS13'AHUMGZ01D'RAT,20
2022-09-30 10:55:26.575 +0300,FFGF'Area04'OS06'AHUGZ01'RAT,27
2022-09-30 10:55:27.662 +0300,FFGF'Area10'OS11'AHUMGZ01'RAT,16
2022-09-30 10:55:28.592 +0300,RF'Area09'OS34'AHUMRF02'RAT,19
2022-09-30 10:55:47.823 +0300,LG'Area01'OS01'AHUMB02'RAT,21
2022-09-30 12:22:32.725 +0300,RF'Area06'OS33'AHUMRF04'RAT,22
2022-09-30 12:22:33.281 +0300,FFGF'Area04'OS05'AHUMGZ01'RAT,29
2022-09-30 12:22:34.063 +0300,FFGF'Area10'OS13'AHUMGZ01D'RAT,20
2022-09-30 12:22:34.971 +0300,FFGF'Area04'OS06'AHUGZ01'RAT,27
2022-09-30 12:22:36.113 +0300,FFGF'Area10'OS11'AHUMGZ01'RAT,16
2022-09-30 12:22:37.148 +0300,RF'Area09'OS34'AHUMRF02'RAT,20
2022-09-30 12:22:56.650 +0300,LG'Area01'OS01'AHUMB02'RAT,21
2022-09-30 13:50:02.959 +0300,RF'Area06'OS33'AHUMRF04'RAT,22
2022-09-30 13:50:03.516 +0300,FFGF'Area04'OS05'AHUMGZ01'RAT,30
2022-09-30 13:50:04.261 +0300,FFGF'Area10'OS13'AHUMGZ01D'RAT,20
2022-09-30 13:50:05.166 +0300,FFGF'Area04'OS06'AHUGZ01'RAT,27
2022-09-30 13:50:06.364 +0300,FFGF'Area10'OS11'AHUMGZ01'RAT,16
2022-09-30 13:50:07.298 +0300,RF'Area09'OS34'AHUMRF02'RAT,19
2022-09-30 13:50:26.755 +0300,LG'Area01'OS01'AHUMB02'RAT,22
2022-09-30 15:17:21.949 +0300,RF'Area06'OS33'AHUMRF04'RAT,22
2022-09-30 15:17:22.484 +0300,FFGF'Area04'OS05'AHUMGZ01'RAT,30
2022-09-30 15:17:23.201 +0300,FFGF'Area10'OS13'AHUMGZ01D'RAT,20
2022-09-30 15:17:24.223 +0300,FFGF'Area04'OS06'AHUGZ01'RAT,27
2022-09-30 15:17:25.304 +0300,FFGF'Area10'OS11'AHUMGZ01'RAT,16
2022-09-30 15:17:26.273 +0300,RF'Area09'OS34'AHUMRF02'RAT,20
2022-09-30 15:17:45.871 +0300,LG'Area01'OS01'AHUMB02'RAT,22
2022-09-30 16:44:40.950 +0300,RF'Area06'OS33'AHUMRF04'RAT,22
2022-09-30 16:44:41.481 +0300,FFGF'Area04'OS05'AHUMGZ01'RAT,30
2022-09-30 16:44:42.230 +0300,FFGF'Area10'OS13'AHUMGZ01D'RAT,20
2022-09-30 16:44:43.161 +0300,FFGF'Area04'OS06'AHUGZ01'RAT,27
2022-09-30 16:44:44.333 +0300,FFGF'Area10'OS11'AHUMGZ01'RAT,16
2022-09-30 16:44:45.299 +0300,RF'Area09'OS34'AHUMRF02'RAT,19
2022-09-30 16:45:04.571 +0300,LG'Area01'OS01'AHUMB02'RAT,22
2022-09-30 18:12:00.441 +0300,RF'Area06'OS33'AHUMRF04'RAT,23
2022-09-30 18:12:01.009 +0300,FFGF'Area04'OS05'AHUMGZ01'RAT,30
2022-09-30 18:12:01.736 +0300,FFGF'Area10'OS13'AHUMGZ01D'RAT,19
2022-09-30 18:12:02.682 +0300,FFGF'Area04'OS06'AHUGZ01'RAT,27
2022-09-30 18:12:03.863 +0300,FFGF'Area10'OS11'AHUMGZ01'RAT,16
2022-09-30 18:12:04.768 +0300,RF'Area09'OS34'AHUMRF02'RAT,20
2022-09-30 18:12:24.271 +0300,LG'Area01'OS01'AHUMB02'RAT,22
2022-09-30 19:39:14.476 +0300,RF'Area06'OS33'AHUMRF04'RAT,22
2022-09-30 19:39:15.031 +0300,FFGF'Area04'OS05'AHUMGZ01'RAT,30
2022-09-30 19:39:15.747 +0300,FFGF'Area10'OS13'AHUMGZ01D'RAT,19
2022-09-30 19:39:16.689 +0300,FFGF'Area04'OS06'AHUGZ01'RAT,27
2022-09-30 19:39:17.841 +0300,FFGF'Area10'OS11'AHUMGZ01'RAT,16
2022-09-30 19:39:18.771 +0300,RF'Area09'OS34'AHUMRF02'RAT,19
2022-09-30 19:39:38.832 +0300,LG'Area01'OS01'AHUMB02'RAT,22
2022-09-30 21:06:23.043 +0300,RF'Area06'OS33'AHUMRF04'RAT,23
2022-09-30 21:06:23.580 +0300,FFGF'Area04'OS05'AHUMGZ01'RAT,30
2022-09-30 21:06:24.319 +0300,FFGF'Area10'OS13'AHUMGZ01D'RAT,19
2022-09-30 21:06:25.240 +0300,FFGF'Area04'OS06'AHUGZ01'RAT,27
2022-09-30 21:06:26.463 +0300,FFGF'Area10'OS11'AHUMGZ01'RAT,16
2022-09-30 21:06:27.371 +0300,RF'Area09'OS34'AHUMRF02'RAT,19
2022-09-30 21:06:46.749 +0300,LG'Area01'OS01'AHUMB02'RAT,22
2022-09-30 22:33:33.225 +0300,RF'Area06'OS33'AHUMRF04'RAT,22
2022-09-30 22:33:33.787 +0300,FFGF'Area04'OS05'AHUMGZ01'RAT,30
2022-09-30 22:33:34.511 +0300,FFGF'Area10'OS13'AHUMGZ01D'RAT,19
2022-09-30 22:33:35.478 +0300,FFGF'Area04'OS06'AHUGZ01'RAT,27
2022-09-30 22:33:36.618 +0300,FFGF'Area10'OS11'AHUMGZ01'RAT,16
2022-09-30 22:33:37.956 +0300,RF'Area09'OS34'AHUMRF02'RAT,19
2022-09-30 22:33:57.172 +0300,LG'Area01'OS01'AHUMB02'RAT,22
2022-10-01 00:00:41.457 +0300,RF'Area06'OS33'AHUMRF04'RAT,22
2022-10-01 00:00:41.974 +0300,FFGF'Area04'OS05'AHUMGZ01'RAT,29
2022-10-01 00:00:42.696 +0300,FFGF'Area10'OS13'AHUMGZ01D'RAT,19
2022-10-01 00:00:43.578 +0300,FFGF'Area04'OS06'AHUGZ01'RAT,27
2022-10-01 00:00:44.657 +0300,FFGF'Area10'OS11'AHUMGZ01'RAT,15
2022-10-01 00:00:45.620 +0300,RF'Area09'OS34'AHUMRF02'RAT,19
2022-10-01 00:01:04.994 +0300,LG'Area01'OS01'AHUMB02'RAT,21
2022-10-01 01:27:55.636 +0300,RF'Area06'OS33'AHUMRF04'RAT,22
2022-10-01 01:27:56.159 +0300,FFGF'Area04'OS05'AHUMGZ01'RAT,29
2022-10-01 01:27:56.919 +0300,FFGF'Area10'OS13'AHUMGZ01D'RAT,20
2022-10-01 01:27:57.900 +0300,FFGF'Area04'OS06'AHUGZ01'RAT,27
2022-10-01 01:27:59.049 +0300,FFGF'Area10'OS11'AHUMGZ01'RAT,16
2022-10-01 01:27:59.978 +0300,RF'Area09'OS34'AHUMRF02'RAT,19
2022-10-01 01:28:19.621 +0300,LG'Area01'OS01'AHUMB02'RAT,21
2022-10-01 02:55:03.404 +0300,RF'Area06'OS33'AHUMRF04'RAT,22
2022-10-01 02:55:03.936 +0300,FFGF'Area04'OS05'AHUMGZ01'RAT,29
2022-10-01 02:55:04.758 +0300,FFGF'Area10'OS13'AHUMGZ01D'RAT,20
2022-10-01 02:55:05.695 +0300,FFGF'Area04'OS06'AHUGZ01'RAT,27
2022-10-01 02:55:06.802 +0300,FFGF'Area10'OS11'AHUMGZ01'RAT,16
2022-10-01 02:55:07.809 +0300,RF'Area09'OS34'AHUMRF02'RAT,20
2022-10-01 02:55:29.876 +0300,LG'Area01'OS01'AHUMB02'RAT,22
2022-10-01 04:21:24.236 +0300,RF'Area06'OS33'AHUMRF04'RAT,22
2022-10-01 04:21:24.762 +0300,FFGF'Area04'OS05'AHUMGZ01'RAT,29
2022-10-01 04:21:25.542 +0300,FFGF'Area10'OS13'AHUMGZ01D'RAT,19
2022-10-01 04:21:26.442 +0300,FFGF'Area04'OS06'AHUGZ01'RAT,27
2022-10-01 04:21:27.576 +0300,FFGF'Area10'OS11'AHUMGZ01'RAT,16
2022-10-01 04:21:28.478 +0300,RF'Area09'OS34'AHUMRF02'RAT,20
2022-10-01 04:21:47.687 +0300,LG'Area01'OS01'AHUMB02'RAT,22
2022-10-01 05:48:05.297 +0300,RF'Area06'OS33'AHUMRF04'RAT,22
2022-10-01 05:48:05.818 +0300,FFGF'Area04'OS05'AHUMGZ01'RAT,29
2022-10-01 05:48:06.541 +0300,FFGF'Area10'OS13'AHUMGZ01D'RAT,20
2022-10-01 05:48:07.497 +0300,FFGF'Area04'OS06'AHUGZ01'RAT,27
2022-10-01 05:48:08.577 +0300,FFGF'Area10'OS11'AHUMGZ01'RAT,16
2022-10-01 05:48:09.477 +0300,RF'Area09'OS34'AHUMRF02'RAT,20
2022-10-01 05:48:28.257 +0300,LG'Area01'OS01'AHUMB02'RAT,21
