"created_at","device_prop_name","property_value","property_obj"
2022-08-07 15:59:19.614 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-06-26 15:10:10.962 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-06-18 02:39:35.998 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-18 15:33:41.106 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-28 04:11:48.300 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-09-13 15:58:47.506 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-06-25 19:41:01.949 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-06-13 17:00:06.654 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-12 10:44:06.622 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-06-30 05:58:51.829 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-09-04 03:31:29.668 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-06-03 04:41:11.917 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-31 21:19:51.993 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-09-20 14:52:53.286 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-07 08:40:42.347 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-11 22:31:53.121 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-05 01:29:22.858 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-10 05:01:51.690 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-25 21:07:00.735 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-07-15 18:12:27.925 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-06-10 03:53:07.800 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-09-13 18:25:37.676 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
2022-08-28 07:24:10.932 +0300,RF'Area02'OS23'AHUMRF02'ACTRATSP,"18",analogValue:1
