"created_at","device_prop_name","property_value"
2022-09-29 13:09:07.055 +0300,RF'Area11'OS37'RAHU14'SAT,32
2022-09-29 13:09:08.233 +0300,RF'Area10'OS32'RAHU28'SAT,29
2022-09-29 13:09:09.142 +0300,RF'Area02'OS22'RAHU01'SAT,32
2022-09-29 13:09:09.795 +0300,RF'Area09'OS30'RAHU11'SAT,31
2022-09-29 13:09:10.355 +0300,RF'Area07'OS29'RAHU07'SAT,32
2022-09-29 13:09:13.371 +0300,RF'Area02'OS21'RAHU02'SAT,16
2022-09-29 13:09:14.824 +0300,RF'Area04'OS26'RAHU05'SAT,31
2022-09-29 13:09:16.654 +0300,RF'Area08'OS28'RAHU10'SAT,33
2022-09-29 13:09:30.211 +0300,RF'Area03'OS25'RAHU06'SAT,34
2022-09-29 13:09:31.728 +0300,RF'Area02'OS23A'RAHU04'SAT,28
2022-09-29 13:09:42.106 +0300,RF'Area09'OS34'RAHU12'SAT,30
2022-09-29 13:09:44.348 +0300,RF'Area05'OS36'RAHU13'SAT,34
2022-09-29 13:10:22.067 +0300,RF'Area02'OS22'RAHU15'SAT,28
2022-09-29 13:10:23.772 +0300,RF'Area09'OS30'RAHU25'SAT,18
2022-09-29 13:10:26.471 +0300,RF'Area07'OS29'RAHU21'SAT,33
2022-09-29 13:10:28.440 +0300,RF'Area02'OS21'RAHU16'SAT,19
2022-09-29 13:10:29.372 +0300,RF'Area04'OS26'RAHU19'SAT,20
2022-09-29 13:10:45.020 +0300,RF'Area03'OS25'RAHU20'SAT,9
2022-09-29 13:10:45.541 +0300,RF'Area02'OS23A'RAHU18'SAT,9
2022-09-29 13:10:45.859 +0300,RF'Area08'OS28'RAHU24'SAT,33
2022-09-29 13:10:56.403 +0300,RF'Area05'OS36'RAHU27'SAT,8
2022-09-29 13:10:58.786 +0300,RF'Area09'OS34A'RAHU26'SAT,14
2022-09-29 14:35:35.446 +0300,RF'Area02'OS23'AHUMRF02'SAT,17
2022-09-29 14:35:36.215 +0300,RF'AREA01'OS19'AHUMRF011'SAT,24
2022-09-29 14:35:36.570 +0300,LG'Area01'OS01'AHUMB01'SAT,16
2022-09-29 14:35:38.402 +0300,RF'Area01'OS20'AHUMRF012'SAT,32
2022-09-29 14:35:40.225 +0300,RF'Area06'OS33'AHUMRF04'SAT,20
2022-09-29 14:35:40.577 +0300,FFGF'Area04'OS05'AHUMGZ01'SAT,12
2022-09-29 14:35:41.545 +0300,FFGF'Area10'OS13'AHUMGZ01D'SAT,14
2022-09-29 14:35:44.271 +0300,RF'Area09'OS34'AHUMRF02'SAT,26
2022-09-29 14:35:46.579 +0300,RF'Area05'OS36'AHUMRF03'SAT,14
2022-09-29 14:36:05.206 +0300,LG'Area01'OS01'AHUMB02'SAT,12
2022-09-29 14:36:23.240 +0300,RF'Area11'OS37'RAHU14'SAT,32
2022-09-29 14:36:24.307 +0300,RF'Area10'OS32'RAHU28'SAT,30
2022-09-29 14:36:25.247 +0300,RF'Area02'OS22'RAHU01'SAT,32
2022-09-29 14:36:25.786 +0300,RF'Area09'OS30'RAHU11'SAT,32
2022-09-29 14:36:26.446 +0300,RF'Area07'OS29'RAHU07'SAT,33
2022-09-29 14:36:29.312 +0300,RF'Area02'OS21'RAHU02'SAT,16
2022-09-29 14:36:30.727 +0300,RF'Area04'OS26'RAHU05'SAT,31
2022-09-29 14:36:32.626 +0300,RF'Area08'OS28'RAHU10'SAT,33
2022-09-29 14:36:46.714 +0300,RF'Area03'OS25'RAHU06'SAT,34
2022-09-29 14:36:47.016 +0300,RF'Area02'OS23A'RAHU04'SAT,28
2022-09-29 14:36:57.201 +0300,RF'Area09'OS34'RAHU12'SAT,30
2022-09-29 14:36:59.209 +0300,RF'Area05'OS36'RAHU13'SAT,34
2022-09-29 14:37:36.115 +0300,RF'Area02'OS22'RAHU15'SAT,30
2022-09-29 14:37:38.053 +0300,RF'Area09'OS30'RAHU25'SAT,18
2022-09-29 14:37:40.781 +0300,RF'Area07'OS29'RAHU21'SAT,33
2022-09-29 14:37:42.606 +0300,RF'Area02'OS21'RAHU16'SAT,19
2022-09-29 14:37:43.509 +0300,RF'Area04'OS26'RAHU19'SAT,19
2022-09-29 14:37:58.815 +0300,RF'Area03'OS25'RAHU20'SAT,9
2022-09-29 14:37:59.330 +0300,RF'Area02'OS23A'RAHU18'SAT,9
2022-09-29 14:37:59.501 +0300,RF'Area08'OS28'RAHU24'SAT,33
2022-09-29 14:38:10.054 +0300,RF'Area05'OS36'RAHU27'SAT,21
2022-09-29 14:38:12.201 +0300,RF'Area09'OS34A'RAHU26'SAT,13
2022-09-29 16:02:38.659 +0300,RF'Area02'OS23'AHUMRF02'SAT,17
2022-09-29 16:02:39.424 +0300,RF'AREA01'OS19'AHUMRF011'SAT,25
2022-09-29 16:02:39.856 +0300,LG'Area01'OS01'AHUMB01'SAT,14
2022-09-29 16:02:41.684 +0300,RF'Area01'OS20'AHUMRF012'SAT,31
2022-09-29 16:02:43.627 +0300,RF'Area06'OS33'AHUMRF04'SAT,20
2022-09-29 16:02:43.964 +0300,FFGF'Area04'OS05'AHUMGZ01'SAT,12
2022-09-29 16:02:44.866 +0300,FFGF'Area10'OS13'AHUMGZ01D'SAT,14
2022-09-29 16:02:46.935 +0300,RF'Area09'OS34'AHUMRF02'SAT,27
2022-09-29 16:02:49.846 +0300,RF'Area05'OS36'AHUMRF03'SAT,14
2022-09-29 16:03:08.888 +0300,LG'Area01'OS01'AHUMB02'SAT,12
2022-09-29 16:03:27.284 +0300,RF'Area11'OS37'RAHU14'SAT,32
2022-09-29 16:03:28.496 +0300,RF'Area10'OS32'RAHU28'SAT,30
2022-09-29 16:03:29.406 +0300,RF'Area02'OS22'RAHU01'SAT,33
2022-09-29 16:03:29.957 +0300,RF'Area09'OS30'RAHU11'SAT,32
2022-09-29 16:03:30.502 +0300,RF'Area07'OS29'RAHU07'SAT,33
2022-09-29 16:03:33.503 +0300,RF'Area02'OS21'RAHU02'SAT,15
2022-09-29 16:03:34.935 +0300,RF'Area04'OS26'RAHU05'SAT,32
2022-09-29 16:03:36.974 +0300,RF'Area08'OS28'RAHU10'SAT,33
2022-09-29 16:03:50.128 +0300,RF'Area03'OS25'RAHU06'SAT,34
2022-09-29 16:03:51.524 +0300,RF'Area02'OS23A'RAHU04'SAT,21
2022-09-29 16:04:01.577 +0300,RF'Area09'OS34'RAHU12'SAT,30
2022-09-29 16:04:03.722 +0300,RF'Area05'OS36'RAHU13'SAT,33
2022-09-29 16:04:40.631 +0300,RF'Area02'OS22'RAHU15'SAT,31
2022-09-29 16:04:42.300 +0300,RF'Area09'OS30'RAHU25'SAT,17
2022-09-29 16:04:45.049 +0300,RF'Area07'OS29'RAHU21'SAT,34
2022-09-29 16:04:46.890 +0300,RF'Area02'OS21'RAHU16'SAT,18
